"wy","cod_cuenca","volume_GL","volume_obs_GL"
2013,4703002,86.4864,81.6471360113429
2013,5410002,447.6384,452.191679902325
2013,5710001,1844.1216,1760.20992008761
2013,5722002,69.5088,59.3287646931543
2013,6028001,798.1632,747.747039836612
2013,7104002,748.656,553.366080135173
2013,7321002,3900.096,3359.59152835556
2014,3820001,18.06624,15.5982107082745
2014,4320001,49.248,43.6622399986217
2014,4703002,62.9856,49.6514880068978
2014,5410002,369.4464,407.835093756603
2014,5710001,1545.4368,1557.15175641754
2014,5722002,54.55296,59.2360527118901
2014,6028001,798.2496,879.215040078238
2014,7104002,840.8448,835.354944204055
2014,7321002,4492.9728,4001.20682974012
2015,3820001,99.6192,93.7060682349932
2015,4320001,199.0656,175.761951553162
2015,4703002,140.616,247.014144034317
2015,5410002,597.7152,722.735999843886
2015,5710001,1894.5792,2397.87747511602
2015,5722002,99.792,111.216567146953
2015,6028001,947.4624,1186.50458907608
2015,7104002,901.4112,1051.36017546825
2015,7321002,4592.16,4243.45366974675
2016,3820001,129.6864,221.364319956733
2016,4320001,199.152,374.198399988187
2016,4703002,230.04,241.634016033569
2016,5410002,597.5424,767.551679834206
2016,5710001,1794.3552,2338.5801601164
2016,5722002,80.0496,96.2772480056783
2016,6028001,746.064,863.274240076818
2016,7104002,649.8144,557.807040136258
2016,7321002,2996.9568,1943.74575838088
2017,3820001,141.4368,155.542729142152
2017,4320001,199.152,133.196831995795
2017,4703002,120.8736,96.2749152133751
2017,5410002,447.6384,402.682751913019
2017,5710001,2094.2496,1741.08960008666
2017,5722002,78.7104,73.6499520043438
2017,6028001,836.784,906.992640080711
2017,7104002,598.6656,845.994240206655
2017,7321002,3495.9168,3718.64404231216
2018,3820001,70.5888,45.5635584017007
2018,4320001,85.104,80.0951327974715
2018,4703002,79.8768,78.1035264108506
2018,5410002,348.4512,337.194143927165
2018,5710001,1395.6192,1480.89600007371
2018,5722002,49.8096,51.0515136030109
2018,6028001,695.952,705.101760062745
2018,7104002,699.408,759.774067385594
2018,7321002,3495.9168,3943.59309760387
2019,3820001,25.64352,27.8982147543425
2019,4320001,56.51424,59.6116799981181
2019,4703002,49.5936,24.6254688034211
2019,5410002,216.0864,237.942403148604
2019,5710001,1099.872,1117.61147525563
2019,5722002,39.07008,27.5782752016265
2019,6028001,673.5744,444.323145639539
2019,7104002,373.7664,315.536860877077
2019,7321002,2750.4576,1957.98426095114
2020,3820001,25.50528,128.032095752469
2020,4320001,43.2,218.309188681963
2020,4703002,80.0064,218.382417123039
2020,5410002,399.2544,770.887110394209
2020,5710001,1718.496,2583.26263889088
2020,5722002,49.55904,130.197338618374
2020,6028001,969.408,1131.31190476992
2020,7104002,749.4336,1060.54012926972
2020,7321002,3887.136,3743.03734181252
2021,7321002,2872.8,2133.89255047044
