"gauge_name","year","month","ym","wy","wym","Q_m3s","cod_cuenca","area_km2"
"Aconcagua en Chacabuquito",2011,9,2011-09-01,2011,6,8,5410002,2113.422512
"Aconcagua en Chacabuquito",2011,10,2011-10-01,2011,7,13,5410002,2113.422512
"Aconcagua en Chacabuquito",2011,11,2011-11-01,2011,8,25,5410002,2113.422512
"Aconcagua en Chacabuquito",2011,12,2011-12-01,2011,9,30,5410002,2113.422512
"Aconcagua en Chacabuquito",2012,1,2012-01-01,2011,10,24,5410002,2113.422512
"Aconcagua en Chacabuquito",2012,2,2012-02-01,2011,11,20,5410002,2113.422512
"Aconcagua en Chacabuquito",2012,3,2012-03-01,2011,12,13,5410002,2113.422512
"Aconcagua en Chacabuquito",2012,9,2012-09-01,2012,6,12,5410002,2113.422512
"Aconcagua en Chacabuquito",2012,10,2012-10-01,2012,7,18,5410002,2113.422512
"Aconcagua en Chacabuquito",2012,11,2012-11-01,2012,8,30,5410002,2113.422512
"Aconcagua en Chacabuquito",2012,12,2012-12-01,2012,9,32,5410002,2113.422512
"Aconcagua en Chacabuquito",2013,1,2013-01-01,2012,10,25,5410002,2113.422512
"Aconcagua en Chacabuquito",2013,2,2013-02-01,2012,11,20,5410002,2113.422512
"Aconcagua en Chacabuquito",2013,3,2013-03-01,2012,12,16,5410002,2113.422512
"Aconcagua en Chacabuquito",2013,9,2013-09-01,2013,6,12,5410002,2113.422512
"Aconcagua en Chacabuquito",2013,10,2013-10-01,2013,7,20,5410002,2113.422512
"Aconcagua en Chacabuquito",2013,11,2013-11-01,2013,8,33,5410002,2113.422512
"Aconcagua en Chacabuquito",2013,12,2013-12-01,2013,9,35,5410002,2113.422512
"Aconcagua en Chacabuquito",2014,1,2014-01-01,2013,10,30,5410002,2113.422512
"Aconcagua en Chacabuquito",2014,2,2014-02-01,2013,11,25,5410002,2113.422512
"Aconcagua en Chacabuquito",2014,3,2014-03-01,2013,12,16,5410002,2113.422512
"Aconcagua en Chacabuquito",2014,9,2014-09-01,2014,6,8,5410002,2113.422512
"Aconcagua en Chacabuquito",2014,10,2014-10-01,2014,7,16,5410002,2113.422512
"Aconcagua en Chacabuquito",2014,11,2014-11-01,2014,8,27,5410002,2113.422512
"Aconcagua en Chacabuquito",2014,12,2014-12-01,2014,9,29,5410002,2113.422512
"Aconcagua en Chacabuquito",2015,1,2015-01-01,2014,10,26,5410002,2113.422512
"Aconcagua en Chacabuquito",2015,2,2015-02-01,2014,11,20,5410002,2113.422512
"Aconcagua en Chacabuquito",2015,3,2015-03-01,2014,12,15,5410002,2113.422512
"Aconcagua en Chacabuquito",2015,9,2015-09-01,2015,6,17,5410002,2113.422512
"Aconcagua en Chacabuquito",2015,10,2015-10-01,2015,7,25,5410002,2113.422512
"Aconcagua en Chacabuquito",2015,11,2015-11-01,2015,8,43,5410002,2113.422512
"Aconcagua en Chacabuquito",2015,12,2015-12-01,2015,9,53,5410002,2113.422512
"Aconcagua en Chacabuquito",2016,1,2016-01-01,2015,10,40,5410002,2113.422512
"Aconcagua en Chacabuquito",2016,2,2016-02-01,2015,11,30,5410002,2113.422512
"Aconcagua en Chacabuquito",2016,3,2016-03-01,2015,12,20,5410002,2113.422512
"Aconcagua en Chacabuquito",2016,9,2016-09-01,2016,6,17,5410002,2113.422512
"Aconcagua en Chacabuquito",2016,10,2016-10-01,2016,7,25,5410002,2113.422512
"Aconcagua en Chacabuquito",2016,11,2016-11-01,2016,8,45,5410002,2113.422512
"Aconcagua en Chacabuquito",2016,12,2016-12-01,2016,9,50,5410002,2113.422512
