"wy_simple","wym","cod_cuenca","SLZ","SSM","SUZ","SWE","STORAGE"
2000,9,"3421001",12.557,8.153,0,437.849,458.559
2001,9,"3421001",13.896,11.056,0,367.946,392.898
2002,9,"3421001",35.088,9.848,0,375.096,420.032
2003,9,"3421001",22.232,8.164,0,255.348,285.744
2004,9,"3421001",15.105,8.52,0,249.039,272.664
2005,9,"3421001",11.038,8.673,0,242.801,262.512
2006,9,"3421001",12.374,9.7,0,123.084,145.158
2007,9,"3421001",16.69,7.849,0,51.035,75.574
2008,9,"3421001",11.663,7.631,0,0,19.294
2009,9,"3421001",6.936,0.301,0,0,7.237
2010,9,"3421001",7.826,7.512,0,50.659,65.997
2011,9,"3421001",11.689,9.446,0,48.258,69.393
2012,9,"3421001",9.837,8.283,0,7.38,25.5
2013,9,"3421001",9.918,0.415,0,0,10.333
2014,9,"3421001",6.462,7.913,0,40.717,55.092
2015,9,"3421001",11.487,8.726,0,115.615,135.828
2016,9,"3421001",22.171,9.856,0,44.341,76.368
2017,9,"3421001",29.43,9.335,0,130.632,169.397
2018,9,"3421001",21.756,9.025,0,52.516,83.297
2019,9,"3421001",11.787,0.858,0,0,12.645
2020,9,"3421001",7.488,0.987,0,0,8.475
2021,9,"3421001",6.225,3.018,0,0,9.243
2022,9,"3421001",6.041,7.808,0,60.228,74.077
1981,10,"3421001",7.457,10.949,0,90.376,108.782
1982,10,"3421001",15.627,11.185,0,24.36,51.172
1983,10,"3421001",15.126,16.971,0,201.665,233.762
1984,10,"3421001",15.769,16.164,0,376.725,408.658
1985,10,"3421001",11.51,9.766,0,327.916,349.192
1986,10,"3421001",11.716,10.007,0,330.834,352.557
1987,10,"3421001",36.218,9.497,0,530.808,576.523
1988,10,"3421001",21.577,16.232,0,463.685,501.494
1989,10,"3421001",19.427,12.651,0,528.365,560.443
1990,10,"3421001",12.254,9.49,0,449.691,471.435
1991,10,"3421001",10.417,10.234,0,505.056,525.707
1992,10,"3421001",11.02,12.164,0,633.75,656.934
1993,10,"3421001",8.98,9.882,0,564.202,583.064
1994,10,"3421001",10.798,13.615,0,460.957,485.37
1995,10,"3421001",10.566,13.075,0,392.73,416.371
1996,10,"3421001",9.807,14.637,0,303.459,327.903
1997,10,"3421001",34.891,11.367,0,523.107,569.365
1998,10,"3421001",19.57,9.409,0,453.818,482.797
1999,10,"3421001",14.968,10.533,0,408.519,434.02
2000,10,"3421001",13.105,12.861,0,419.855,445.821
2001,10,"3421001",13.765,9.854,0,351.706,375.325
2002,10,"3421001",33.659,11.33,0,353.345,398.334
2003,10,"3421001",22.004,12.683,0,236.154,270.841
2004,10,"3421001",15.161,10.941,0,229.383,255.485
2005,10,"3421001",11.497,13.587,0,221.719,246.803
2006,10,"3421001",12.574,10.294,0,101.562,124.43
2007,10,"3421001",16.385,9.223,0,30.356,55.964
2008,10,"3421001",11.134,4.864,0,0,15.998
2009,10,"3421001",6.901,11.24,0,0,18.141
2010,10,"3421001",8.117,10.177,0,30.14,48.434
2011,10,"3421001",12.509,13.681,0,30.355,56.545
2012,10,"3421001",10.007,8.579,0,0,18.586
2013,10,"3421001",9.286,2.416,0,0,11.702
2014,10,"3421001",6.932,10.507,0,18.73,36.169
2015,10,"3421001",11.685,10.449,0,92.035,114.169
2016,10,"3421001",22.568,16.534,0,18.873,57.975
2017,10,"3421001",28.401,10.579,0,111.508,150.488
2018,10,"3421001",21.416,13.443,0,28.46,63.319
2019,10,"3421001",11.19,7.379,0,0,18.569
2020,10,"3421001",7.291,8.122,0,0,15.413
2021,10,"3421001",7.426,12.136,0,0,19.562
2022,10,"3421001",6.984,11.454,0,42.164,60.602
1981,11,"3421001",7.657,9.52,0,75.514,92.691
1982,11,"3421001",16.729,15.203,0,4.897,36.829
1983,11,"3421001",15.742,15.238,0,186.508,217.488
1984,11,"3421001",15.741,11.969,0,358.232,385.942
1985,11,"3421001",11.989,12.178,0,312.952,337.119
1986,11,"3421001",15.756,27.927,0,314.764,358.447
1987,11,"3421001",35.922,16.382,0,516.067,568.371
1988,11,"3421001",21.469,14.591,0,445.448,481.508
1989,11,"3421001",19.444,11.723,0,514.051,545.218
