"wy_simple","wym","cod_cuenca","AE","SLZ","SM","SP","SUZ","STORAGE"
1999,6,"3421001",0.261,21.041,1.378,0,0,22.68
2000,6,"3421001",0.486,15.203,2.402,0,0,18.091
2001,6,"3421001",0.175,8.276,2.108,0,0,10.559
2002,6,"3421001",1.035,73.822,7.124,0,0,81.981
2003,6,"3421001",0.005,36.155,0.023,0,0,36.183
2004,6,"3421001",0.117,24.352,0.736,0,0,25.205
2005,6,"3421001",0.814,11.439,9.301,0,0,21.554
2006,6,"3421001",0.047,5.515,0.215,0,0,5.777
2007,6,"3421001",0.29,24.719,1.342,0,0,26.351
2008,6,"3421001",0.084,11.783,0.732,0,0,12.599
2009,6,"3421001",0.01,5.565,0.089,0,0,5.664
2010,6,"3421001",0.115,10.654,1.149,0,0,11.918
2011,6,"3421001",0.115,18.922,0.633,0,0,19.67
2012,6,"3421001",0.008,8.81,0.05,0,0,8.868
2013,6,"3421001",0.049,11.854,0.389,0,0,12.292
2014,6,"3421001",0.526,5.564,3.477,0,0,9.567
2015,6,"3421001",1.217,12.587,7.696,0,0,21.5
2016,6,"3421001",0.019,30.34,0.101,0,0,30.46
2017,6,"3421001",0.079,72.819,0.691,0,0,73.589
2018,6,"3421001",0.016,36.57,0.092,0,0,36.678
2019,6,"3421001",0.059,17.001,0.336,0,0,17.396
1981,7,"3421001",0.038,7.608,0.154,0,0,7.8
1982,7,"3421001",0.04,12.693,0.154,0,0,12.887
1983,7,"3421001",0.418,35.923,2.807,0,0,39.148
1984,7,"3421001",0.015,67.585,0.07,0,0,67.67
1985,7,"3421001",0.378,32.321,2.124,0,0,34.823
1986,7,"3421001",0.176,15.908,1.058,0,0,17.142
1987,7,"3421001",0.487,92.477,2.982,0,0,95.946
1988,7,"3421001",0.026,42.954,0.135,0,0,43.115
1989,7,"3421001",0.114,25.266,0.478,0,0,25.858
1990,7,"3421001",0.005,11.762,0.022,0,0,11.789
1991,7,"3421001",0.041,13.285,0.206,0,0,13.532
1992,7,"3421001",0.059,17.58,0.306,0,0,17.945
1993,7,"3421001",0,8.208,0.002,0,0,8.21
1994,7,"3421001",0.109,10.865,1.072,0.694,0,12.74
1995,7,"3421001",0.052,7.064,0.208,0,0,7.324
1996,7,"3421001",0.001,3.461,0.004,0,0,3.466
1997,7,"3421001",1.961,90.34,10.616,0,0,102.917
1998,7,"3421001",0.251,42.222,1.304,0,0,43.777
1999,7,"3421001",0,19.776,3.69,4.138,0,27.604
2000,7,"3421001",0.002,14.245,0.012,0,0,14.259
2001,7,"3421001",1.074,7.755,4.485,0,0,13.314
2002,7,"3421001",0.027,69.172,0.112,0,0,69.311
2003,7,"3421001",0.081,33.877,0.393,0,0,34.351
2004,7,"3421001",0.027,22.818,0.114,0,0,22.959
2005,7,"3421001",0.044,10.718,0.213,0,0,10.975
2006,7,"3421001",0.003,5.168,0.014,0,0,5.185
2007,7,"3421001",0.187,23.162,1.272,0,0,24.621
2008,7,"3421001",0.018,11.041,0.082,0,0,11.141
2009,7,"3421001",0.001,5.214,0.002,0,0,5.217
2010,7,"3421001",0.006,9.983,0.028,0,0,10.017
2011,7,"3421001",0.189,17.731,0.729,0,0,18.649
2012,7,"3421001",0,8.255,0,0,0,8.255
2013,7,"3421001",0,11.107,0.002,0,0,11.109
2014,7,"3421001",0.096,5.214,0.418,0,0,5.728
2015,7,"3421001",0.738,12.077,3.619,0,0,16.434
2016,7,"3421001",0.016,28.429,0.075,0,0,28.52
2017,7,"3421001",0.088,68.232,0.546,0,0,68.866
2018,7,"3421001",0.06,34.269,0.265,0,0,34.594
2019,7,"3421001",0.001,15.93,0.002,0,0,15.933
1981,8,"3421001",0,7.144,0,0,0,7.144
1982,8,"3421001",0,11.919,0,0,0,11.919
1983,8,"3421001",0.194,33.731,0.749,0,0,34.674
1984,8,"3421001",0,63.46,0,0,0,63.46
1985,8,"3421001",0.001,30.349,0.002,0,0,30.352
1986,8,"3421001",0.012,14.937,0.062,0,0,15.011
1987,8,"3421001",0.036,86.833,0.127,0,0,86.996
1988,8,"3421001",0,40.333,0,0,0,40.333
1989,8,"3421001",0.033,23.724,0.13,0,0,23.887
1990,8,"3421001",0,11.044,0,0,0,11.044
1991,8,"3421001",0.001,12.475,0.002,0,0,12.478
1992,8,"3421001",0.005,16.507,0.021,0,0,16.533
1993,8,"3421001",0,7.707,0,0,0,7.707
1994,8,"3421001",0.001,10.202,0.002,0,0,10.205
1995,8,"3421001",0,6.633,0,0,0,6.633
1996,8,"3421001",0,3.25,0,0,0,3.25
1997,8,"3421001",0.006,84.827,0.027,0,0,84.86
1998,8,"3421001",0,39.645,0.001,0,0,39.646
1999,8,"3421001",0.015,18.57,0.07,0,0,18.655
2000,8,"3421001",0,13.376,0.001,0,0,13.377
2001,8,"3421001",0.001,7.282,0.006,0,0,7.289
2002,8,"3421001",0,64.951,0,0,0,64.951
2003,8,"3421001",0,31.81,0,0,0,31.81
2004,8,"3421001",0.038,21.426,0.123,0,0,21.587
2005,8,"3421001",0,10.064,0,0,0,10.064
2006,8,"3421001",0,4.853,0,0,0,4.853
2007,8,"3421001",0,21.748,0.002,0,0,21.75
2008,8,"3421001",0,10.367,0.001,0,0,10.368
2009,8,"3421001",0,4.896,0,0,0,4.896
2010,8,"3421001",0.002,9.374,0.008,0,0,9.384
2011,8,"3421001",0,16.649,0.001,0,0,16.65
2012,8,"3421001",0,7.751,0,0,0,7.751
2013,8,"3421001",0.001,10.43,0.005,0,0,10.436
2014,8,"3421001",0.001,4.896,0.004,0,0,4.901
2015,8,"3421001",0.003,11.34,0.014,0,0,11.357
2016,8,"3421001",0,26.694,0.001,0,0,26.695
2017,8,"3421001",0,64.069,0.001,0,0,64.07
2018,8,"3421001",0.01,32.178,0.046,0,0,32.234
2019,8,"3421001",0,14.958,0,0,0,14.958
1981,9,"3421001",0,6.694,0,0,0,6.694
1982,9,"3421001",0.349,11.168,0.973,0,0,12.49
1983,9,"3421001",0,31.606,0,0,0,31.606
1984,9,"3421001",0,59.463,0,0,0,59.463
1985,9,"3421001",0,28.437,0,0,0,28.437
1986,9,"3421001",0,13.996,0.001,0,0,13.997
1987,9,"3421001",0,81.364,0.001,0,0,81.365
1988,9,"3421001",0.171,37.792,0.669,0,0,38.632
1989,9,"3421001",0.439,22.23,1.512,0,0,24.181
1990,9,"3421001",0,10.348,0,0,0,10.348
1991,9,"3421001",0.004,11.689,0.014,0,0,11.707
1992,9,"3421001",0,15.467,0,0,0,15.467
1993,9,"3421001",0,7.221,0,0,0,7.221
1994,9,"3421001",0,9.559,0,0,0,9.559
1995,9,"3421001",0.848,6.218,3.68,0,0,10.746
1996,9,"3421001",0,3.045,0,0,0,3.045
1997,9,"3421001",0,79.483,0,0,0,79.483
1998,9,"3421001",0.009,37.148,0.032,0,0,37.189
1999,9,"3421001",0,17.401,0,0,0,17.401
2000,9,"3421001",0,12.533,0,0,0,12.533
2001,9,"3421001",0.236,6.824,0.86,0,0,7.92
2002,9,"3421001",0.001,60.86,0.002,0,0,60.863
2003,9,"3421001",0,29.806,0,0,0,29.806
2004,9,"3421001",0,20.076,0,0,0,20.076
2005,9,"3421001",0,9.43,0,0,0,9.43
2006,9,"3421001",0,4.547,0,0,0,4.547
2007,9,"3421001",0.001,20.378,0.004,0,0,20.383
2008,9,"3421001",0,9.714,0,0,0,9.714
2009,9,"3421001",0,4.588,0,0,0,4.588
2010,9,"3421001",0,8.783,0,0,0,8.783
2011,9,"3421001",0.001,15.6,0.002,0,0,15.603
2012,9,"3421001",0,7.263,0,0,0,7.263
2013,9,"3421001",0,9.773,0,0,0,9.773
2014,9,"3421001",0,4.588,0,0,0,4.588
2015,9,"3421001",0,10.626,0,0,0,10.626
2016,9,"3421001",0.099,25.013,0.223,0,0,25.335
2017,9,"3421001",0,60.033,0,0,0,60.033
2018,9,"3421001",0,30.151,0.001,0,0,30.152
2019,9,"3421001",0,14.016,0,0,0,14.016
1981,10,"3421001",0.039,6.272,0.101,0,0,6.412
1982,10,"3421001",0.015,10.465,0.045,0,0,10.525
1983,10,"3421001",0.206,29.643,0.755,0,0,30.604
1984,10,"3421001",0.375,55.729,1.625,0,0,57.729
1985,10,"3421001",0,26.646,0,0,0,26.646
1986,10,"3421001",0.004,13.114,0.011,0,0,13.129
1987,10,"3421001",0,76.238,0,0,0,76.238
1988,10,"3421001",0.416,35.426,1.195,0,0,37.037
1989,10,"3421001",0.8,20.83,2.403,0,0,24.033
1990,10,"3421001",0.001,9.696,0.004,0,0,9.701
1991,10,"3421001",0.044,10.953,0.18,0,0,11.177
1992,10,"3421001",0.013,14.493,0.032,0,0,14.538
1993,10,"3421001",0.001,6.766,0.003,0,0,6.77
1994,10,"3421001",0.445,8.957,1.543,0,0,10.945
1995,10,"3421001",0.617,5.827,2.05,0,0,8.494
1996,10,"3421001",0.615,2.853,2.46,0,0,5.928
1997,10,"3421001",0,74.477,0,0,0,74.477
1998,10,"3421001",0,34.808,0.002,0,0,34.81
1999,10,"3421001",0.051,16.304,0.169,0,0,16.524
2000,10,"3421001",0.042,11.749,0.115,0,0,11.906
2001,10,"3421001",0.003,6.394,0.009,0,0,6.406
2002,10,"3421001",0.159,57.026,0.447,0,0,57.632
2003,10,"3421001",0.071,27.929,0.192,0,0,28.192
2004,10,"3421001",0.081,18.812,0.265,0,0,19.158
2005,10,"3421001",0.475,8.836,1.223,0,0,10.534
2006,10,"3421001",0.006,4.26,0.02,0,0,4.286
2007,10,"3421001",0.005,19.095,0.02,0,0,19.12
2008,10,"3421001",0.082,9.102,0.246,0,0,9.43
2009,10,"3421001",1.195,4.317,3.615,0,0,9.127
2010,10,"3421001",0.029,8.23,0.077,0,0,8.336
2011,10,"3421001",0.62,14.623,2.186,0,0,17.429
2012,10,"3421001",0.151,6.811,0.404,0,0,7.366
2013,10,"3421001",0.186,9.157,0.587,0,0,9.93
2014,10,"3421001",0.051,4.299,0.134,0,0,4.484
2015,10,"3421001",0,9.957,0,0,0,9.957
2016,10,"3421001",0.204,23.44,0.719,0,0,24.363
2017,10,"3421001",0.003,56.251,0.008,0,0,56.262
2018,10,"3421001",0.637,28.252,2.097,0,0,30.986
2019,10,"3421001",0.748,13.135,2.577,0,0,16.46
1981,11,"3421001",0.019,5.914,0.081,0,0,6.014
1982,11,"3421001",0.016,9.886,0.055,0,0,9.957
1983,11,"3421001",0.235,27.893,1.118,0,0,29.246
1984,11,"3421001",0.001,52.548,0.002,0,0,52.551
1985,11,"3421001",0.029,25.126,0.095,0,0,25.25
1986,11,"3421001",1.112,13.551,3.354,0,0,18.017
1987,11,"3421001",0.157,71.756,0.582,0,0,72.495
1988,11,"3421001",0.461,33.404,1.696,0,0,35.561
1989,11,"3421001",0.005,19.642,0.025,0,0,19.672
1990,11,"3421001",0.007,9.144,0.026,0,0,9.177
1991,11,"3421001",0.009,10.306,0.031,0,0,10.346
1992,11,"3421001",0.078,13.667,0.285,0,0,14.03
1993,11,"3421001",0.288,6.38,1.26,0,0,7.928
1994,11,"3421001",0.007,8.446,0.024,0,0,8.477
1995,11,"3421001",0,5.483,0.001,0,0,5.484
1996,11,"3421001",0.055,2.691,0.141,0,0,2.887
1997,11,"3421001",0.182,70.226,0.671,0,0,71.079
1998,11,"3421001",0.582,32.823,2.134,0,0,35.539
1999,11,"3421001",0.003,15.342,0.01,0,0,15.355
2000,11,"3421001",0.446,11.082,1.436,0,0,12.964
2001,11,"3421001",0.001,6.029,0.005,0,0,6.035
2002,11,"3421001",0.04,53.771,0.139,0,0,53.95
2003,11,"3421001",0.028,26.28,0.088,0,0,26.396
2004,11,"3421001",0.29,17.738,1.093,0,0,19.121
2005,11,"3421001",0.111,8.398,0.507,0,0,9.016
2006,11,"3421001",0.065,4.018,0.231,0,0,4.314
2007,11,"3421001",0.003,17.967,0.012,0,0,17.982
2008,11,"3421001",1.482,8.6,6.547,0,0,16.629
2009,11,"3421001",0,4.07,0.001,0,0,4.071
2010,11,"3421001",1.883,7.763,6.887,0,0,16.533
