"wy_simple","wym","cod_cuenca","AE","SLZ","SM","SP","SUZ","STORAGE"
1995,10,"3421001",0.382,7.553,6.598,0,0,14.533
1996,10,"3421001",0.297,4.769,5.984,0,0,11.05
1997,10,"3421001",0.806,28.568,11.306,272.887,0,313.567
1998,10,"3421001",0.552,16.865,9.409,203.598,0,230.424
1999,10,"3421001",0.617,13.812,10.533,158.299,0,183.261
2000,10,"3421001",0.867,12.612,12.861,169.635,0,195.975
2001,10,"3421001",0.678,13.555,9.854,101.486,0,125.573
2002,10,"3421001",0.752,33.569,11.33,103.125,0,148.776
2003,10,"3421001",0.393,21.163,5.736,0,0,27.292
2004,10,"3421001",0.641,13.078,10.94,40.615,0,65.274
2005,10,"3421001",0.964,10.606,13.587,32.95,0,58.107
