"wy_simple","wym","cod_cuenca","AE","SLZ","SM","SP","SUZ","STORAGE"
1984,8,"3421001",1.143,56.633,101.997,0,0,159.773
1985,8,"3421001",0.581,20.933,47.884,0,0,69.398
1986,8,"3421001",0.553,16.703,66.387,0,0,83.643
1987,8,"3421001",1.676,113.599,146.959,0,0,262.234
1988,8,"3421001",0.285,33.642,33.376,0,0,67.303
1989,8,"3421001",0.975,36.03,92.533,0,0,129.538
1990,8,"3421001",0.303,11.491,24.878,0,0,36.672
1991,8,"3421001",0.678,13.279,58.375,0,0,72.332
1992,8,"3421001",0.82,27.861,81.913,0,0,110.594
1993,8,"3421001",0.235,9.677,25.821,0,0,35.733
1994,8,"3421001",0.38,4.531,31.47,0,0,36.381
1995,8,"3421001",0.329,3.457,34.669,0,0,38.455
1996,8,"3421001",0.373,2.901,28.138,0,0,31.412
1997,8,"3421001",1.284,106.312,143.269,0,0,250.865
1998,8,"3421001",0.368,31.367,33.14,0,0,64.875
1999,8,"3421001",0.514,14.013,56.681,0,0,71.208
2000,8,"3421001",0.683,15.209,61.995,0,0,77.887
2001,8,"3421001",0.523,10.938,48.671,0,0,60.132
2002,8,"3421001",0.957,47.023,94.255,0,0,142.235
2003,8,"3421001",0.365,15.121,28.027,0,0,43.513
2004,8,"3421001",0.634,11.139,51.793,0,0,63.566
2005,8,"3421001",0.587,8.586,50.967,0,0,60.14
2006,8,"3421001",0.358,4.849,26.987,0,0,32.194
2007,8,"3421001",0.609,9.877,52.443,0,0,62.929
2008,8,"3421001",0.454,5.887,36.33,0,0,42.671
2009,8,"3421001",0.303,3.317,23.852,0,0,27.472
2010,8,"3421001",0.627,9.391,55.657,0,0,65.675
2011,8,"3421001",0.872,14.574,59.331,0,0,74.777
2012,8,"3421001",0.338,7.503,29.512,0,0,37.353
2013,8,"3421001",0.52,7.396,43.507,0,0,51.423
2014,8,"3421001",0.32,4.897,35.239,0,0,40.456
2015,8,"3421001",0.954,28.107,95.434,0,0,124.495
2016,8,"3421001",0.773,25.868,60.791,0,0,87.432
2017,8,"3421001",1.098,51.298,91.47,0,0,143.866
2018,8,"3421001",0.475,21.862,49.438,0,0,71.775
2019,8,"3421001",0.187,6.441,15.702,0,0,22.33
1981,9,"3421001",0.326,8.547,26.721,0,0,35.594
1982,9,"3421001",0.658,14.457,48.077,0,0,63.192
1983,9,"3421001",0.938,37.937,77.412,0,0,116.287
1984,9,"3421001",1.015,50.636,71.555,0,0,123.206
1985,9,"3421001",0.399,18.716,32.863,0,0,51.978
1986,9,"3421001",0.599,15.022,45.86,0,0,61.481
1987,9,"3421001",1.222,101.718,106.996,0,0,209.936
1988,9,"3421001",0.272,30.162,25.849,0,0,56.283
1989,9,"3421001",0.794,32.667,68.265,0,0,101.726
1990,9,"3421001",0.221,10.274,16.717,0,0,27.212
1991,9,"3421001",0.478,11.987,44.82,0,0,57.285
1992,9,"3421001",0.694,24.911,57.426,0,0,83.031
1993,9,"3421001",0.221,8.652,17.474,0,0,26.347
1994,9,"3421001",0.308,4.052,20.85,0,0,25.21
1995,9,"3421001",0.313,3.44,32.389,0,0,36.142
1996,9,"3421001",0.234,2.594,19.43,0,0,22.258
1997,9,"3421001",1.427,95.053,98.916,0,0,195.396
1998,9,"3421001",0.27,28.055,23.129,0,0,51.454
1999,9,"3421001",0.487,12.529,39.712,0,0,52.728
2000,9,"3421001",0.541,13.598,42.697,0,0,56.836
2001,9,"3421001",0.433,10.092,38.948,0,0,49.473
2002,9,"3421001",0.93,42.178,66.637,0,0,109.745
2003,9,"3421001",0.272,13.519,19.487,0,0,33.278
2004,9,"3421001",0.486,9.963,35.253,0,0,45.702
2005,9,"3421001",0.375,7.677,34.323,0,0,42.375
2006,9,"3421001",0.278,4.336,17.907,0,0,22.521
2007,9,"3421001",0.477,8.838,36.801,0,0,46.116
2008,9,"3421001",0.366,5.264,25.136,0,0,30.766
2009,9,"3421001",0.182,2.966,16.164,0,0,19.312
2010,9,"3421001",0.472,8.396,38.872,0,0,47.74
2011,9,"3421001",0.545,13.041,39.989,0,0,53.575
2012,9,"3421001",0.233,6.708,20.007,0,0,26.948
2013,9,"3421001",0.37,6.617,28.813,0,0,35.8
2014,9,"3421001",0.293,4.379,24.376,0,0,29.048
2015,9,"3421001",0.875,25.131,65.94,0,0,91.946
2016,9,"3421001",0.701,23.316,43.925,0,0,67.942
2017,9,"3421001",0.714,45.866,61.532,0,0,108.112
2018,9,"3421001",0.512,19.551,33.906,0,0,53.969
2019,9,"3421001",0.147,5.759,10.798,0,0,16.704
