"wy_simple","volume_original","volume_prom_pronostico","catchment_code"
"1982",1835.30815960357,3039.99828203064,5410002
"1983",1145.24063975262,1109.54321553636,5410002
"1984",1341.39455971025,1992.58158958775,5410002
"1985",665.003519856357,448.560244385031,5410002
"1986",1298.14271971959,934.563657691399,5410002
"1987",1805.48351961001,2194.80893807128,5410002
"1988",446.591231903534,481.055005383447,5410002
"1989",725.595839843268,760.581844826813,5410002
"1990",405.26697591246,426.020066046681,5410002
"1991",1044.84383977431,781.899702160742,5410002
"1992",874.877759811023,1009.8096875425,5410002
"1993",625.21631986495,624.284545502392,5410002
"1994",614.044799867364,515.126993555091,5410002
"1995",483.151391895637,559.491791396704,5410002
"1996",236.126879948996,423.960178887231,5410002
"1997",1390.87583969956,1660.5258953287,5410002
"1998",365.183423921119,392.269134528728,5410002
"1999",642.263039861268,496.900844252331,5410002
