"wy_simple","wym","cod_cuenca","Q_mm"
"1981",9,"4522002",0.117930064782571
"1981",9,"4531002",1.94810184891468
"1981",9,"4703002",8.18475440228505
"1981",9,"5100001",3.23663951084654
"1981",9,"5101001",0.888774630826735
"1981",9,"5200001",3.61486354565462
"1981",9,"5401003",72.4196952907638
"1981",9,"5410002",41.7441564476642
"1981",9,"5411001",3.81787720764087
"1981",9,"5414001",9.2111908817735
"1981",9,"5707002",68.458119300726
"1981",9,"5710001",79.2423832578928
"1981",9,"5721001",39.4842118566903
"1981",9,"5722001",11.1868482211842
"1981",9,"5722002",19.7540824050798
"1981",9,"5730008",6.8917720615183
"1981",9,"5741001",1.84851818822903
"1981",9,"6003001",197.713116831222
"1981",9,"6008005",64.0541250791713
"1981",9,"6013001",75.2728881556172
"1981",9,"6027001",31.93185364581
"1981",9,"6028001",145.145735022714
"1981",9,"7103001",102.755923634155
"1981",9,"7104002",114.324086649727
"1981",9,"7112001",170.932684041866
"1981",9,"7115001",155.062057121338
"1981",9,"7330001",23.7523505721612
"1981",9,"7358001",113.680018894171
"1981",9,"7381001",10.5377188974837
"1981",9,"8104001",81.2284707659603
"1981",9,"8106001",84.8826772244021
"1981",9,"7317005",123.627339231431
"1981",9,"7350003",71.8400388066942
"1981",9,"7321002",108.067505211416
"1981",9,"7354002",55.5339800026466
"1981",9,"7355002",70.9240706483984
"1981",10,"3414001",1.63966989038899
"1981",10,"3421001",1.12175184045669
"1981",10,"3430003",0.60112864133786
"1981",10,"3820001",1.69912499374815
"1981",10,"4302001",3.25554106985595
"1981",10,"4311001",6.35146415801928
"1981",10,"4313001",8.54293367971972
"1981",10,"4320001",2.38793006577002
"1981",10,"4501001",4.5546451539225
"1981",10,"4503001",0.158757947303429
"1981",10,"4511002",10.5878098530358
"1981",10,"4513001",2.36144631997556
"1981",10,"4515002",0.0402202952585161
"1981",10,"4522002",0.0404331650683102
"1981",10,"4531002",1.81314716652291
"1981",10,"4703002",6.5875056887048
