"gauge_id","gauge_name","gauge_lat","gauge_lon","area_km2","mean_elev","max_elev","min_elev","p_mean_cr2met_1979_2010","aridity_cr2met_1979_2010","p_seasonality_cr2met_1979_2010","runoff_ratio_cr2met_1979_2010","hfd_mean","Regimen_Natural_Calidad","Proyecto_DGA","Para_Transferir","Observaciones"
5721001,"Estero Yerba Loca Antes Junta San Francisco",-33.3414,-70.3636,109.954908292085,3424.26320520162,5431,1348,534.442127258391,0.914177776864777,-1.1250903194509,NA,0.700205338809035,"SI","","",""
5722001,"Estero Arrayan En La Montosa",-33.3256,-70.4561,216.47019358091,2513.13194035129,3829,1050,646.934491341905,1.28347634823959,-1.14661908752946,39.8650863467752,0.554962354551677,"SI","","","revisar RN"
5722002,"Rio Mapocho En Los Almendros",-33.3703,-70.4508,637.959472962374,2779.00914902117,5431,968,534.625749056289,1.29669613991955,-1.14572785744704,63.5036247849591,0.563039014373717,"","SI","",""
5730008,"Quebrada Ramon En Recinto Emos",-33.4331,-70.5142,35.6314178243494,1982.55825426945,3252,847,511.636587653589,1.82392995623447,-1.16690425037197,NA,0.418246970246004,"SI","","","no nival"
5741001,"Estero Puangue En Boqueron",-33.1669,-71.1306,144.240073859076,1136.53391636454,2186,492,540.519575253663,2.21349830554194,-1.29070678080096,30.6184188638405,0.350079853981292,"SI","","","no nival"
6003001,"Rio Cachapoal 5 Km. Aguas Abajo Junta Cortaderal",-34.3464,-70.3764,964.694487570419,2929.99878146192,5150,1104,1423.7081676187,0.480461454394299,-1.16717433120538,NA,0.668231152830743,"SI","","","no nival"
6013001,"Rio Claro En Hacienda Las Nieves",-34.4922,-70.7028,244.96851989894,2078.25799437483,3685,701,1627.19728532252,0.505152704315966,-1.19293181116221,72.8432204044708,0.508936040763556,"","SI","",""
6027001,"Rio Claro En El Valle",-34.6867,-70.8739,349.38209256895,1604.51091948615,3046,538,1486.29081635702,0.641817845850027,-1.15781458587724,69.3947497165508,0.402786165801024,"SI","","",""
6028001,"Rio Tinguiririca Bajo Los Briones",-34.7186,-70.8267,1438.27636387201,2549.82806799312,4962,560,1628.62925894142,0.4530120688834,-1.15164462312277,81.0078865880547,0.630027781132988,"","SI","",""
7103001,"Rio Claro En Los QueÑEs",-34.9983,-70.8094,354.4087650816,1856.57463218629,4077,662,1786.41511270773,0.532092677103871,-1.10858428739641,99.3502712539121,0.468028387189741,"SI","SI","",""
7104002,"Rio Teno Despues De Junta Con Claro",-34.9961,-70.8206,1205.26412270559,2090.30335117901,4077,644,1739.51216942786,0.505054291346847,-1.10194938227863,92.494525189218,0.536208076659822,"","SI","",""
7112001,"Rio Colorado En Junta Con Palos",-35.2783,-71.0028,877.886641990868,2288.16655162912,4074,636,1874.92476221415,0.436309878936637,-1.08521759866053,84.5520703437097,0.557837097878166,"SI","","",""
7115001,"Rio Palos En Junta Con Colorado",-35.2744,-71.0156,489.998400708334,1973.43747204112,3282,581,1966.29027048347,0.451892372232052,-1.07100373322144,98.6464685547255,0.514860045390683,"SI","","",""
7321002,"Rio Maule En Armerillo",-35.7061,-71.1139,5468.95939776976,2046.95917290861,3952,461,1711.33836666389,0.551322621833403,-1.0758306735159,NA,NA,"","SI","","Q naturalizado, cuenca Corfo"
7330001,"Rio Perquilauquen En San Manuel",-36.3758,-71.6233,502.399321016515,1100.31283019156,2230,265,2069.46660951606,0.530478044296369,-1.04418557179305,98.8757103745053,0.31211498973306,"SI","","","no nival"
7350003,"Rio Longavi En El Castillo",-36.2558,-71.3375,466.853492618221,1563.59753409765,3195,606,2087.31728074514,0.476795526645304,-1.04332548696061,119.086762235338,0.323826906989125,"SI","","","cuenca Corfo"
7354002,"Rio Achibueno En La Recova",-36.0028,-71.4419,894.349956894797,1328.90690857473,3197,301,2019.45051261838,0.530988485514193,-1.07349610938894,NA,0.354191433408986,"SI","","","cuenca Corfo"
7358001,"Rio Putagan En Yerbas Buenas",-35.7719,-71.585,390.487140100755,471.503696991448,2025,119,1355.42135970878,0.926872019183618,-1.14727885086918,137.473216228602,0.3923179127914,"SI","","","no nival"
7381001,"Estero Los Puercos En Puente Los Puercos",-35.3736,-71.8292,558.825299231716,205.547784770849,833,15,814.043591169285,1.61420287230495,-1.20728829821084,NA,0.395115097806116,"SI","","","no nival"
8104001,"Rio Sauces Antes Junta Con ÑUble",-36.6653,-71.2739,606.704580258797,1682.94854658216,2669,684,1954.10123093994,0.545932802617168,-1.04096274047948,90.0621217682258,0.432717316906229,"SI","","",""
