"wy_simple","wym","cod_cuenca","pr","tem"
1979,5,"4522002",14.614,6.541
1979,6,"4522002",33.194,4.154
1979,7,"4522002",0.012,7.874
1979,8,"4522002",0.921,10.477
1979,9,"4522002",2.862,12.756
1979,10,"4522002",8.186,12.417
1979,11,"4522002",17.937,11.886
1979,12,"4522002",0.938,13.319
1979,1,"4531002",2.336,11.772
1979,2,"4531002",0,10.397
1979,3,"4531002",0.857,9.347
1979,4,"4531002",73.615,9.699
1979,5,"4531002",10.505,9.069
1979,6,"4531002",18.955,6.475
1979,7,"4531002",0.295,11.169
1979,8,"4531002",0.638,12.863
1979,9,"4531002",0,14.655
1979,10,"4531002",1.582,14.909
1979,11,"4531002",7.034,14.528
1979,12,"4531002",1.17,15.883
1979,1,"4703002",3.133,6.48
1979,2,"4703002",7.322,4.02
1979,3,"4703002",0,4.137
1979,4,"4703002",66.564,4.638
1979,5,"4703002",59.722,2.965
1979,6,"4703002",8.25,-0.298
1979,7,"4703002",1.17,4.851
1979,8,"4703002",0.12,7.602
1979,9,"4703002",3.439,9.528
1979,10,"4703002",25.378,10.445
1979,11,"4703002",11.615,9.801
1979,12,"4703002",1.431,11.97
1979,1,"5100001",7.834,8.904
1979,2,"5100001",6.652,6.811
1979,3,"5100001",0,6.594
1979,4,"5100001",101.244,7.39
1979,5,"5100001",57.642,5.727
1979,6,"5100001",31.032,3.161
1979,7,"5100001",0.108,7.495
1979,8,"5100001",0.524,9.787
1979,9,"5100001",8.171,11.421
1979,10,"5100001",14.803,12.52
1979,11,"5100001",13.531,11.692
1979,12,"5100001",0.754,13.484
1979,1,"5101001",4.463,10.356
1979,2,"5101001",0.43,8.614
1979,3,"5101001",0.108,7.857
1979,4,"5101001",88.7,9.142
1979,5,"5101001",50.871,7.455
1979,6,"5101001",46.484,5.091
1979,7,"5101001",0,9.062
1979,8,"5101001",0.016,10.898
1979,9,"5101001",2.657,12.476
1979,10,"5101001",3.597,13.773
1979,11,"5101001",6.575,13.303
1979,12,"5101001",1.559,14.548
1979,1,"5200001",10.229,9.539
1979,2,"5200001",8.355,7.493
1979,3,"5200001",0,7.37
